Unit,Sample,Analysis,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,Totals,Si,Ti,Al,Cr,Fe3,Fe2,Mn,Mg,Ca,Na,K,Sum
Amphibolite,FC68,      31m,49.44,0.4,28.05,0.1,0,2.25,0,3.03,0.01,0.69,10.73,94.71,3.334,0.021,2.23,0.005,0,0.127,0,0.305,0.001,0.09,0.923,7.035
Amphibolite,FC68,      32m,50.45,0.23,28.29,0.03,0,2.68,0.02,3.09,0.01,0.53,10.76,96.1,3.352,0.012,2.216,0.002,0,0.149,0.001,0.305,0.001,0.068,0.912,7.019
Amphibolite,FC68,      33m,49.11,0.52,27.73,0.03,0,2.57,0,2.95,0,0.67,10.71,94.29,3.332,0.027,2.219,0.002,0,0.146,0,0.299,0,0.088,0.927,7.039
Amphibolite,FC68,      34m,49,0.19,27,0.02,0,2.7,0.01,3.13,0.03,0.61,10.57,93.27,3.361,0.01,2.184,0.001,0,0.155,0.001,0.32,0.002,0.081,0.925,7.041
Amphibolite,FC68,      35m,49.63,0.48,29.84,0.03,0,2.19,0.06,2.79,0,1.01,10.14,96.17,3.283,0.024,2.328,0.002,0,0.121,0.003,0.275,0,0.129,0.856,7.021
Quartz mica schist,FC82,      13m,49.38,0.64,29.64,0.01,0,1.88,0,2.8,0.04,0.98,10.26,95.63,3.284,0.032,2.323,0,0,0.105,0,0.277,0.003,0.126,0.87,7.021
Quartz mica schist,FC82,      14m,51.21,0.34,23.12,0,0,3.24,0.05,4.16,0.01,0.45,10.78,93.36,3.519,0.018,1.873,0,0,0.186,0.003,0.426,0.001,0.06,0.945,7.03
Quartz mica schist,FC82,      16m,50.07,0.12,25.03,0,0,2.75,0.04,3.5,0.01,0.24,11.11,92.88,3.454,0.006,2.035,0,0,0.159,0.003,0.36,0.001,0.032,0.978,7.028
Quartz mica schist,FC82,      51m,49.62,0.52,28.72,0,0,2.14,0.06,2.85,0,0.75,10.29,94.94,3.324,0.026,2.268,0,0,0.12,0.003,0.284,0,0.097,0.88,7.004
Quartz mica schist,FC82,      52m,48.62,0.59,30.4,0,0,2.06,0,2.46,0,0.92,10.18,95.25,3.248,0.03,2.394,0,0,0.115,0,0.245,0,0.12,0.867,7.02
Quartz mica schist,FC82,      54m,46.9,0.75,28.48,0,0.86,2.58,0.02,2.55,0,0.78,10.02,92.94,3.237,0.039,2.317,0,0.045,0.149,0.001,0.262,0,0.105,0.882,7.037
