Sample,Analysis,Unit,SiO2,TiO2,Al2O3,Cr2O3,MnO,FeO,Fe2O3 ,MgO,CaO,Na2O,K2O,H2O,Total ,Si_T,Al_T,Ti_T,Fe3_T,Tsub,Ti_C,Al_C,Cr_C,Fe3_C,Fe2_C,Mg_C,Csub,Mn_B,Fe2_B,Ca_B,Na_B,Bsub,Ca_A,Na_A,K_A,Asub,Total 
FC-82,65c-amph,Na-amphibole schist,56,0.06,10.41,0.06,0.2,15.29,0,7.18,0.52,6.42,0.06,2.14,98.34,7.998,0.002,,,8,0.006,1.75,0.007,,1.708,1.529,5,0.024,0.118,0.08,1.778,2,,,0.011,0.011,15.011
FC-82,66c-amph,Na-amphibole schist,55.72,0.1,10.65,0.1,0.35,13.1,1.63,7.56,0.57,6.93,0.03,2.14,98.88,7.899,0.101,,,8,0.011,1.678,0.011,0.175,1.528,1.598,5.001,0.042,0.024,0.087,1.847,2,,0.058,0.005,0.063,15.064
FC-82,12a,Na-amphibole schist,54.23,0.55,11.38,0.02,0.26,13.35,1.67,7.99,0.78,6.42,0.08,2.13,98.87,7.712,0.288,,,8,0.059,1.619,0.002,0.184,1.442,1.694,5,0.031,0.14,0.119,1.71,2,,0.06,0.015,0.075,15.075
FC-82,14a,Na-amphibole schist,55.38,0.19,10.5,0,0.33,13.02,1.43,8.56,0.85,6.38,0.03,2.14,98.81,7.85,0.15,,,8,0.02,1.604,,0.154,1.414,1.809,5.001,0.04,0.128,0.129,1.703,2,,0.05,0.005,0.055,15.056
FC-82,51a,Na-amphibole schist,57.18,0,11.02,0,0.24,12.13,0.56,8.61,0.2,6.98,0,2.17,99.09,7.988,0.012,,,8,,1.802,,0.061,1.344,1.793,5,0.028,0.071,0.03,1.871,2,,0.02,,0.02,15.02
FC-82,52a,Na-amphibole schist,56.62,0.16,10.88,0,0.37,12.05,0.22,9.23,1.05,6.34,0.07,2.16,99.15,7.92,0.08,,,8,0.017,1.713,,0.024,1.321,1.925,5,0.044,0.087,0.157,1.711,1.999,,0.008,0.012,0.02,15.019
FC-82,53a,Na-amphibole schist,55.95,0.28,10.92,0.04,0.36,14.73,0.56,6.77,0.29,6.85,0.04,2.14,98.93,7.943,0.057,,,8,0.03,1.771,0.004,0.06,1.702,1.433,5,0.043,0.047,0.044,1.866,2,,0.02,0.007,0.027,15.027
FC-82,54a,Na-amphibole schist,56.64,0.14,9.61,0.04,0.41,11.79,1.01,9.69,1.6,6.2,0.04,2.15,99.32,7.94,0.06,,,8,0.015,1.528,0.004,0.106,1.322,2.025,5,0.049,0.061,0.24,1.65,2,,0.035,0.007,0.042,15.042
FC-82,55a,Na-amphibole schist,55.36,0.37,10.83,0.01,0.31,12.72,1.41,8.05,0.34,6.81,0.02,2.15,98.38,7.864,0.136,,,8,0.04,1.677,0.001,0.151,1.426,1.705,5,0.037,0.085,0.052,1.826,2,,0.05,0.004,0.054,15.054
FC-82,61a,Na-amphibole schist,56.5,0.32,11.7,0.01,0.4,11.15,0.74,9.26,1.16,6.55,0.04,2.17,100,7.824,0.176,,,8,0.033,1.733,0.001,0.077,1.244,1.912,5,0.047,0.048,0.172,1.733,2,,0.025,0.007,0.032,15.032
FC-82,62a,Na-amphibole schist,56.15,0.43,11.36,0.02,0.4,11.88,0.45,8.76,1.01,6.53,0.06,2.16,99.21,7.858,0.142,,,8,0.045,1.732,0.002,0.047,1.346,1.828,5,0.047,0.045,0.151,1.756,1.999,,0.015,0.011,0.026,15.025
FC-82,63a,Na-amphibole schist,57.01,0.15,10.49,0.04,0.32,13.86,0.31,8.09,0.5,6.65,0.02,2.15,99.59,7.99,0.01,,,8,0.016,1.723,0.004,0.033,1.534,1.69,5,0.038,0.091,0.075,1.796,2,,0.011,0.004,0.015,15.015
FC-82,64a,Na-amphibole schist,56.83,0.33,11.54,0.02,0.36,11.53,0.32,8.98,0.94,6.66,0.04,2.17,99.72,7.885,0.115,,,8,0.034,1.772,0.002,0.034,1.3,1.857,4.999,0.042,0.037,0.14,1.78,1.999,,0.011,0.007,0.018,15.016
FC-82,66a,Na-amphibole schist,56.51,0.29,11.02,0.02,0.35,11.15,1.03,9.15,0.96,6.72,0.01,2.16,99.37,7.88,0.12,,,8,0.03,1.691,0.002,0.109,1.265,1.902,4.999,0.041,0.034,0.143,1.781,1.999,,0.036,0.002,0.038,15.036
FC-82,67a,Na-amphibole schist,56.74,0.24,10.04,0.03,0.44,12.61,0.5,9.24,1.52,6.15,0.04,2.15,99.7,7.933,0.067,,,8,0.025,1.588,0.003,0.051,1.406,1.926,4.999,0.052,0.07,0.228,1.65,2,,0.017,0.007,0.024,15.023
FC-09, 35c-amph,Shuksan blueschist-greenschist,55.85,0.07,5.75,,0.16,14.21,4.07,10.22,2.93,5.58,0.11,2.1,101.05,7.908,0.092,,,8,0.007,0.867,,0.434,1.534,2.157,4.999,0.019,0.149,0.445,1.388,2.001,,0.144,0.02,0.164,15.164
FC-09, 11c-amph,Shuksan blueschist-greenschist,57.3,0.23,7.57,,0.16,13.51,3.33,9.37,1.79,6.35,0.02,2.13,101.983,7.919,0.081,,,8,0.024,1.152,,0.579,1.315,1.931,5.001,0.019,0.015,0.265,1.702,2.001,,,0.004,0.004,15.006
FC-09, 52c-amph,Shuksan blueschist-greenschist,56.56,0,7.71,,0.11,14.67,3.93,8.17,1.15,6.43,0.03,2.11,101.034,7.941,0.059,,,8,,1.216,,0.588,1.486,1.71,5,0.013,0.064,0.173,1.75,2,,,0.005,0.005,15.005
FC-09, 53c-amph,Shuksan blueschist-greenschist,56.25,0.01,8.44,,0.17,15.25,2.5,8.1,1.27,6.38,0.02,2.11,100.501,7.947,0.053,,,8,0.001,1.353,,0.266,1.674,1.706,5,0.02,0.128,0.192,1.66,2,,0.088,0.004,0.092,15.092
FC-36,36 4-1,Shuksan blueschist-greenschist,53.33,0.02,4.33,,0.16,17.92,7.67,6.27,1.2,6.1,0.02,2.04,99.06,7.93,0.07,,,8,0.002,0.688,,0.858,2.061,1.39,4.999,0.02,0.167,0.191,1.622,2,,0.137,0.004,0.141,15.14
FC-36,36 4-2,Shuksan blueschist-greenschist,54.47,0,5.88,0.01,0.17,13.99,5.48,8.48,1.29,5.9,0.05,2.1,97.821,7.972,0.028,,,8,,0.986,,0.604,1.559,1.85,5,0.021,0.153,0.202,1.623,1.999,,0.051,0.009,0.06,15.059
FC-36,36 4-3,Shuksan blueschist-greenschist,52.85,0.09,3.34,0.01,0.07,18.81,9.17,5.26,1.34,6.04,0.03,2.02,99.031,7.942,0.058,,,8,0.01,0.534,,1.037,2.239,1.178,4.999,0.009,0.125,0.216,1.65,2,,0.11,0.006,0.116,15.115
FC-36,36 4-4,Shuksan blueschist-greenschist,55.11,0.06,6.58,,0.12,14.49,5.01,8.24,1.28,6.39,0.01,2.09,99.38,7.938,0.062,,,8,0.007,1.055,,0.543,1.626,1.769,5,0.015,0.12,0.198,1.668,2.001,,0.117,0.002,0.119,15.12
FC-80,80b 4-1,Amphibolite,43.82,0.82,14.23,0.02,0.22,9.86,2.6,12.19,10.51,2.48,0.76,2.07,99.58,6.389,1.611,,,8,0.09,0.835,0.002,0.285,1.138,2.65,5,0.027,0.064,1.642,0.267,2,,0.434,0.141,0.575,15.575
FC-80,80b 4-2,Amphibolite,43.7,0.79,14.35,0.13,0.21,10.08,2.51,11.85,10.62,2.3,0.8,2.06,99.4,6.388,1.612,,,8,0.087,0.861,0.015,0.276,1.179,2.582,5,0.026,0.053,1.663,0.257,1.999,,0.395,0.149,0.544,15.543
FC-80,80b 4-3,Amphibolite,42.92,0.79,14.24,0.03,0.21,10.2,3.42,11.55,10.38,2.23,0.82,2.06,98.85,6.335,1.665,,,8,0.088,0.812,0.004,0.38,1.176,2.541,5.001,0.026,0.083,1.642,0.249,2,,0.389,0.154,0.543,15.544
FC-80,80b 3-1,Amphibolite,43.81,0.82,13.45,0.01,0.22,9.49,2.9,12.41,10.56,2.35,0.59,2.07,98.68,6.438,1.562,,,8,0.091,0.768,0.001,0.321,1.101,2.719,5.001,0.027,0.065,1.663,0.245,2,,0.425,0.111,0.536,15.537
